"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Var.8","Opposition","Ground","Start Date","Var.12","result"
"1","TDNB","-","-","-","-","-","-","","v West Indies","Port of Spain","23 Jun 2017","ODI # 3895","n/r"
"2","9.0","0","50","3","5.55","5","2","","v West Indies","Port of Spain","25 Jun 2017","ODI # 3896","won"
"3","10.0","1","41","3","4.10","4","2","","v West Indies","North Sound","30 Jun 2017","ODI # 3898","won"
"4","10.0","1","31","2","3.10","5","1","","v West Indies","North Sound","2 Jul 2017","ODI # 3900","lost"
"5","10.0","0","36","0","3.60","5","1","","v West Indies","Kingston","6 Jul 2017","ODI # 3902","won"
"6","8.4","1","31","2","3.57","5","2","","v Sri Lanka","Colombo (RPS)","31 Aug 2017","ODI # 3908","won"
"7","10.0","0","40","1","4.00","4","1","","v Sri Lanka","Colombo (RPS)","3 Sep 2017","ODI # 3909","won"
