"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Var.10","Opposition","Ground","Start Date","Var.14","result"
"1","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Harare","11 Jun 2016","ODI # 3742","won"
"2","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Harare","13 Jun 2016","ODI # 3744","won"
"3","DNB","-","-","-","-","-","-","-","2","","v Zimbabwe","Harare","15 Jun 2016","ODI # 3746","won"
"4","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Dambulla","20 Aug 2017","ODI # 3905","won"
"5","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Pallekele","24 Aug 2017","ODI # 3906","won"
"6","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Pallekele","27 Aug 2017","ODI # 3907","won"
"7","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Colombo (RPS)","3 Sep 2017","ODI # 3909","won"
