"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Var.8","Opposition","Ground","Start Date","Var.12","result"
"1","10.0","1","27","1","2.70","5","1","","v Zimbabwe","Harare","11 Jun 2016","ODI # 3742","won"
"2","6.0","2","25","3","4.16","5","1","","v Zimbabwe","Harare","13 Jun 2016","ODI # 3744","won"
"3","8.0","0","25","2","3.12","5","1","","v Zimbabwe","Harare","15 Jun 2016","ODI # 3746","won"
"4","10.0","0","60","2","6.00","4","1","","v Sri Lanka","Dambulla","20 Aug 2017","ODI # 3905","won"
"5","10.0","1","43","2","4.30","3","1","","v Sri Lanka","Pallekele","24 Aug 2017","ODI # 3906","won"
"6","10.0","0","49","0","4.90","3","1","","v Sri Lanka","Pallekele","27 Aug 2017","ODI # 3907","won"
"7","10.0","0","36","1","3.60","6","1","","v Sri Lanka","Colombo (RPS)","3 Sep 2017","ODI # 3909","won"
