"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Var.10","Opposition","Ground","Start Date","Var.14","result"
"1","DNB","-","-","-","-","-","-","-","1","","v West Indies","Port of Spain","23 Jun 2017","ODI # 3895","n/r"
"2","DNB","-","-","-","-","-","-","-","1","","v West Indies","Port of Spain","25 Jun 2017","ODI # 3896","won"
"3","DNB","-","-","-","-","-","-","-","1","","v West Indies","North Sound","30 Jun 2017","ODI # 3898","won"
"4","2*","-","6","0","0","33.33","9","not out","2","","v West Indies","North Sound","2 Jul 2017","ODI # 3900","lost"
"5","DNB","-","-","-","-","-","-","-","2","","v West Indies","Kingston","6 Jul 2017","ODI # 3902","won"
"6","DNB","-","-","-","-","-","-","-","1","","v Sri Lanka","Colombo (RPS)","31 Aug 2017","ODI # 3908","won"
"7","DNB","-","-","-","-","-","-","-","2","","v Sri Lanka","Colombo (RPS)","3 Sep 2017","ODI # 3909","won"
"8","0*","-","0","0","0","-","9","not out","1","","v Australia","Chennai","17 Sep 2017","ODI # 3910","won"
